sent	sentiment
['정년퇴직', '공기', '좋', '시골', '내려가', '살', '싶', '도시', '힘들']	2
['올해', '경기', '좋', '그런지', '내', '월급', '인상', '없']	5
['남편', '내', '돈', '들', '집', '나갔']	1
['요즘', '살', '쪄서', '걱정', '이']	3
['결혼', '한', '후', '장모님', '우리', '집', '오']	3
['난', '성실', '살아왔', '자신', '주변', '남', '이', '아무', '없', '눈물', '나']	5
['은퇴', '후', '삶', '걱정', '되']	3
['나이', '많', '이번', '프로젝트', '맡', '못했', '화', '나']	2
['시험', '보', '못해서', '부모', '혼날까', '봐', '걱정', '다독여', '주', '다행', '이']	0
['부인', '건강', '검진', '결과', '나왔', '건강', '상태', '좋', '않', '충격', '받', '모양', '이']	4
['이', '좋', '틀니', '하', '싫', '임', '플란트', '비싸']	3
['나', '병원', '가', '봐야', '할', '것', '같']	4
['아들', '차', '탔', '불안', '편하', '있', '못하']	3
['회사', '이번', '중년', '신입', '들어왔', '회사', '나이', '보', '뽑', '건', '알', '중년', '신입', '이', '하', '약간', '불편']	3
['짜증', '나']	2
['나', '이번', '남자', '친구', '생겼']	0
['은퇴', '하', '주식', '부동산', '했', '풀리', '않', '짜증', '나']	2
['요즘', '남편', '집', '늦', '들어오']	3
['이제', '살아왔', '암', '이', '나', '이럴', '수', '있']	2
['아들', '녀석', '학원', '다니', '싶', '그게', '아니', '속상해']	4
['아들', '중심', '돌아가', '가족', '환멸', '느껴']	5
['믿', '친구', '돈', '때문', '배신', '슬프']	5
['오랜만', '만난', '친구', '비통', '마음', '들']	5
['젊', '시절', '내', '했', '일', '와']	1
['내', '직업', '십', '년', '안', '기계', '대체', '거', '래']	5
['엄마', '신문', '보', '성', '소수자', '차별', '발언', '했', '모습', '혐오']	1
['치과', '과잉', '진료', '해도', '되', '임', '플란트', '하', '되', '큰', '돈', '지불']	4
['같', '시기', '결혼', '하', '싶', '않']	5
['아내', '아이', '갖', '하', '아이', '키우', '친구', '힘들', '하', '것', '같', '아이', '낳', '것', '조심']	3
['연락', '끊겼', '친구', '만나', '했', '기뻐']	0
['재정', '큰', '사기', '당한', '이후', '사람', '믿', '수', '없', '되']	5
['아내', '오랜만', '만난', '친구', '만나', '해']	2
['친구', '거짓말', '했', '들켰', '친구', '소문', '낼까', '봐', '무서워서', '애', '만나', '못하', '했']	3
['산책', '중', '자전거', '튀어나와', '팔목', '부러졌', '뭐', '야']	4
['얼마', '전', '면접', '본', '회사', '합격', '연락', '왔', '신']	0
['게', '끝난', '느낌', '이', '투자', '주식', '폭락']	5
['아들', '녀석', '때문', '온', '집안', '난리', '였']	0
['며칠', '전', '친구', '집', '가족', '모여', '텔레비전', '시청', '데', '혐오', '장면', '나와서', '당황']	1
['선생', '학교', '폭력', '가해자', '학생', '불러', '처벌', '혼내', '주', '통쾌']	0
['비만', '이', '걱정', '하', '말', '걷', '해도', '체중', '빠지', '기분', '좋']	0
['회사', '일', '경험']	1
['여름', '땀', '흘려서', '아침', '샤워', '않', '직원', '아침', '땀', '냄새', '구역', '날', '정도', '진동', '해']	2
['시댁', '가', '의지', '사람', '아무', '없']	4
['병', '원비', '지불', '하', '자식', '보내', '주', '용돈', '끊겨', '병', '원비', '내', '있']	1
['병', '앓', '친하', '지내', '동호회', '사람', '멀', '졌']	4
['딸', '공무원', '시험', '떨어졌', '애쓰', '걸', '지켜', '봐서', '그런지', '내', '마음', '괴롭']	4
['된', '노후', '준비', '한', '채', '은퇴', '하', '생겼', '앞날']	5
['아빠', '최신형', '컴퓨터', '사', '줬', '기뻐']	0
['나', '아이', '낳', '싫']	5
['엄마', '아빠', '나', '때문', '싸워서', '속상해']	3
['수학', '점수', '올라서', '엄마', '보여', '드렸', '칭찬', '받']	0
['학교', '아무', '말', '걸', '주', '않', '나', '등', '돌린', '기분', '이']	1
['이젠', '집', '있', '아내', '마찰', '생기', '것', '같', '반려', '견', '입양']	2
['회사', '일', '해봐도', '이게', '의미', '있', '건지', '하', '회의감', '들']	3
['병', '있', '내', '집', '있', '편안', '기쁘']	0
['노후', '준비', '모아', '놓', '돈', '남편', '사업', '자금', '날렸', '모은', '돈', '인데', '그걸', '날리']	2
['대학', '친구', '있', '재미', '없']	3
['나', '내성', '이', '친구', '사귀', '게', '어려워', '전학', '가', '적응', '걱정', '이']	3
['대인', '관계', '혼란', '느껴']	3
['나이', '먹', '가', '데', '벌', '놓', '돈', '없', '걱정', '이']	1
['애인', '있', '안정', '가정', '꾸리', '싶', '결혼', '재촉']	3
['부인', '집', '남편', '나', '비교', '나', '위축', '기분', '이', '이게', '꿈', '그리', '신혼', '생활', '맞', '싶']	5
['몸', '좋', '데', '살아가', '하', '혼란']	3
['정년퇴직', '하', '되', '노후', '준비', '해', '놔서', '그런지', '두렵', '않', '기뻐']	0
['공부', '하', '친구', '우리', '회사', '합격', '배', '아파']	4
['이제', '자식', '내게', '용돈', '달', '하', '않', '것', '만족']	0
['회사', '보너스', '나와서', '소고기', '사', '먹', '거', '야']	0
['수술', '본', '적', '없', '신장', '이식', '수술', '받', '한다고', '해서', '무서워']	3
['내', '진로', '대해서', '고민', '많', '꿈', '없', '혼란']	1
['이번', '최종', '합격', '생각', '떨어졌']	4
['나', '위암', '말기', '판정', '나왔']	4
['여자', '친구', '생일', '갖', '싶', '하', '액세서리', '사', '주', '싶', '돈', '없', '사', '줬']	3
['건강', '검진', '해야겠다']	3
['몸', '나아야', '딸', '결혼식', '갈', '수', '있', '텐데', '마음', '초조']	3
['평소', '치질', '고생', '있', '데', '치', '전문', '병원', '앞', '옆집', '사람', '마주쳐서', '부끄러웠']	1
['학교', '따돌림', '당하', '있']	2
['친구', '좋', '사람', '연애', '거', '같', '다행', '이']	0
['살', '당뇨병', '심한', '상태', '라', '힘든데', '어제', '집', '빨간', '딱지', '붙']	3
['딸', '내', '생일', '홍삼', '사', '오', '해', '놓', '빈손', '와서']	5
['요즘', '갱년기', '왔', '이상', '마음', '혼란']	3
['이젠', '친구', '전화', '오']	5
['엄마', '게임', '하', '해서', '이럴', '거', '면', '낳', '화', '냈']	1
['요새', '코로나', '일자리', '부족', '것', '같']	0
['친구', '재혼', '연하', '생겼', '질투', '나', '더라']	4
['주식', '가격', '순식간', '폭락', '내', '것', '팔', '할지', '모르', '힘들']	1
['친한', '사람', '믿', '돈', '빌려', '줬', '사람', '갚', '있']	4
['내', '친구', '놀', '다니', '나', '돈', '없']	3
['친구', '약속', '시간', '지각', '짜증', '나']	2
['친구', '여행', '가', '했', '가난', '탓', '거절', '상처', '받']	4
['우리', '시어머니', '나', '볼', '때', '나', '아들', '낳', '말씀', '시댁', '가', '싫']	1
['최근', '동아리', '만난', '사람', '겉', '속', '다른', '것', '같']	5
['자식', '요즘', '미안', '마음', '들', '눈물', '나']	5
['친구', '취업', '화', '나']	2
['김', '부장', '직원', '앞', '내게', '모욕감', '준', '것', '뇌리', '잊히', '않', '화', '나']	2
['자기', '일', '바빠서', '내', '아파도', '누구', '하나', '신경', '써', '주', '사람', '없', '것', '같', '화', '나']	2
['요즘', '남편', '나', '무시', '화', '나']	2
['양말', '아무데', '벗', '놓', '신경질', '내', '아내', '목소리', '최대한', '대답']	3
['엄마', '얘기', '보', '내', '미쳐', '버릴', '것', '같', '느낌', '들']	2
['부모', '지갑', '보', '나', '체험학습', '달', '라는', '말', '하']	4
['친구', '나', '싫어하', '거', '같']	1
['지금', '살아왔', '행복', '했', '건강', '이상', '와서', '화', '나']	2
['은퇴', '인데', '퇴직금', '생각', '적', '나와', '실망']	5
['남', '가', '구걸', '사람', '보', '돈', '주', '돼']	1
['내', '은퇴', '일자리', '알아보', '아내', '작년', '교통사고', '죽', '약속', '지키', '않']	4
['돈', '뭔지', '혐오']	1
['내', '친구', '괴롭혔', '우리', '부모', '괴롭힌', '친구', '부모', '사과', '모습', '보', '죄책감', '들']	1
['부모', '내', '성적', '관심', '있', '것', '같']	5
['요즘', '지금', '여자', '친구', '헤어졌', '했', '후회', '드']	5
['내', '친구', '직장', '있', '나', '구하', '못해서', '열등', '들']	4
['생활', '나이', '들', '걱정', '이']	1
['내', '딸', '사춘기', '와서', '부모', '말', '해서', '속상해']	3
['요즘', '사람', '만나', '싫', '게', '우울']	2
['급식', '실', '있', '싶', '않', '많', '사람', '속', '혼자', '된', '기분', '이']	2
['우리', '나라', '성', '소수자', '취업', '쉽', '않', '것', '같']	2
['친하', '지내', '친구', '배신', '돈', '빼앗', '죄책감', '들']	1
['직장', '무급', '휴가', '가', '해서', '충격', '받', '회사', '사정', '좋', '졌']	4
['친구', '나', '취업', '해서', '부러운', '마음', '질투', '했', '미안']	1
['언니', '방', '들어갔', '언니', '아끼', '물건', '망가뜨렸', '언니', '들킬까', '봐', '불안']	3
['난', '애', '하', '장난삼', '한건데', '아이', '다칠', '줄', '몰랐', '까지', '상처', '줄지', '몰랐']	1
['과거', '연금', '저축', '들', '둔', '게', '다행', '이']	0
['동네', '산책로', '생겨서', '걷', '운동', '좋']	0
['나', '오', '백만', '원', '빌려간', '김', '영감', '십', '년', '지나', '갚', '않', '있']	4
['친구', '나', '다르', '노후', '준비', '하', '있', '것', '같', '당황']	1
['큰', '아들', '결혼', '데', '집', '사', '달', '해서', '화', '나']	2
['나이', '되', '가족', '재정', '도움', '되', '않']	1
['며칠', '전', '애인', '헤어졌', '나', '잊', '싶', '사람', '나', '잊', '않', '좋']	3
['며칠', '전', '와이프', '싸우', '나', '말', '한마디', '없', '사과', '번', '했', '풀릴', '때', '된', '것', '같']	3
['부끄러운', '일', '있']	1
['오랜만', '친구', '만났', '힘들', '보여서', '내', '슬펐']	5
['친구', '나', '때리', '놀렸', '증거', '모아서', '학', '폭위', '제출', '거', '야']	2
['나', '아픈데', '사실', '남', '들킬까', '봐', '불안']	3
['나이', '들', '체중', '조절', '돼서', '운동', '했', '주위', '사람', '살', '찐', '나', '모습', '쳐다봐서', '상처', '받']	4
['애인', '생겼', '남자', '친구', '야']	0
['년', '후', '은퇴', '인데', '모아', '둔', '게', '하나', '없', '걱정', '이']	2
['요즘', '아이', '나', '어려워하', '하', '것', '같']	4
['물가', '비싼', '거', '야']	2
['노인정', '건강', '사람', '뽑혀', '기분', '좋']	0
['업무', '때문', '직장', '동료', '전화', '했', '직장', '동료', '애인', '나', '내', '연녀', '오해']	1
['내', '투자', '주식', '있', '이번', '백', '배', '올라서', '기뻐']	0
['회사', '따돌림', '괴로워', '팀원', '전체', '나', '말', '해']	4
['나', '지방', '발령', '났', '생긴', '일', '이', '당황']	5
['운동', '해도', '소용', '없']	5
['회사', '꼬리', '자르', '내', '책임', '지', '물러나', '되']	1
['연애', '하']	1
['남편', '은퇴', '한', '나', '보', '대책', '없', '크', '화', '냈']	4
['따돌림', '하', '걸까']	1
['디스크', '수술', '의료', '과실', '책임', '간호사', '떠넘기', '말걸']	1
['이번', '맡', '된', '프로젝트', '하', '힘들', '예전', '해냈', '이제', '체력', '부족', '힘드']	5
['병', '관리', '생계', '유지', '위해', '아내', '가게', '차렸', '장사', '돼', '가', '문', '닫', '생겼']	2
['허리', '디스크', '예방', '등산', '동호회', '가입', '신청', '했', '사람', '많', '떨어졌']	5
['장', '보', '해도', '비싸', '아끼', '해']	2
['난', '강아지', '키우', '싶', '아내', '좋', '해']	5
['우리', '회사', '휘트', '니스', '센터', '있', '운동', '했', '이게', '건강', '도움', '됐']	0
['고장', '난', '노트북', '고치', '대신', '아빠', '최신', '바꿔', '주', '기뻐']	0
['남편', '운전', '배운다고', '하', '늦', '것', '같']	3
['전달', '받', '게', '없', '팀장', '했', '혼', '냈', '그럴까봐', '불안']	3
['집', '되', '비', '새', '수리비', '부족', '살', '있', '내']	1
['이번', '입학', '친하', '지내', '나', '어울리', '못하', '친구', '사귀', '혼자', '학교', '생활', '봐', '초조']	3
['주변', '사람', '모습', '보', '실망']	5
['회사', '동료', '였', '부장', '퇴직', '얼마', '지나', '고혈압', '쓰려', '졌']	5
['오빠', '일', '없', '봐', '방', '틀어박혀', '있', '오빠', '걱정']	4
['건강', '검진', '끝나', '의사', '검사', '하', '해서', '불안']	3
['직장', '상사', '나', '내', '업무', '아닌', '잡일', '시켜서', '짜증', '나']	2
['내', '남편', '화내', '짜증', '내', '거', '같']	2
['나', '회사', '입사', '내', '삶', '달라질', '줄', '알', '피곤', '해']	5
['자식', '결혼', '아무', '없', '집', '고독', '달래', '위해', '텔레비전', '켰']	1
['아들', '힘들', '고민', '털어놓', '적', '있', '내', '대수롭', '않', '생각', '했었', '봐']	5
['문과', '이과', '중', '내', '적성', '맞', '게', '무엇', '인지', '모르', '혼란']	1
['공부', '데', '성적', '오르', '거', '지', '짜증', '나']	2
['내', '부모', '드리', '만든', '요리', '부모', '입', '먹', '않']	4
['노인', '이유', '나와', '있', '불편', '해서', '나']	4
['대인', '관계', '만족']	0
['담임', '선생', '고민', '이야기', '마음']	0
['고객', '클라우드', '환경', '전환', '해', '기존', '하', '대로', '제안', '기회', '줄어드']	1
['요즘', '생리', '때문', '감정', '기복', '심한', '데', '남자', '친구', '이해', '해', '줘']	2
['나', '살', '싶', '않']	4
['아들', '학교', '친구', '싸웠', '연락', '와서', '당황']	1
['노후', '준비', '데', '있', '화', '나']	5
['대학', '동기', '중', '문화', '예술', '공기업', '목표', '삼', '년', '동안', '취업', '준비', '하', '친구', '있', '취업', '성공']	0
['큰일', '날', '뻔', '화장실', '갔', '휴지', '없', '거', '야']	0
['가족', '따돌림', '대해', '말씀', '드렸', '가족', '응원', '준다고', '했', '기뻐']	0
['어머니', '안락사', '부탁', '부탁', '들', '드리', '어머니', '포기', '것', '같', '죄책감', '들']	1
['엄마', '급식비', '낸다고', '거짓말', '돈', '받', '썼']	1
['다행', '이번', '보직', '변경', '내', '포함', '않']	0
['며칠', '전', '충격', '일', '있']	4
['남편', '은퇴', '이후', '일', '했', '좋']	3
['회의', '때', '신입', '만든', '피피티', '내', '만든', '피피티', '비교', '스트레스', '받']	1
['치매증', '나타나', '남편', '옆', '있', '줘야', '하', '게', '마음', '아파']	5
['이제', '우리', '집', '가난', '줄', '알', '아빠', '숨겨', '놓', '재산', '있', '하']	4
['청각', '장애', '가진', '친구', '마스크', '써야', '하', '요즘', '많', '불편', '느껴']	4
['내', '일', '아닌데', '남편', '나', '몰아세웠']	4
['새아버지', '생겼', '난', '그분', '받아들일', '준비', '된', '것', '같']	2
['만성', '질환', '치료', '때문', '재정', '힘든', '상황', '이']	1
['내', '고혈압', '쓰러지', '나', '우리', '가족', '자리', '모이', '되', '가족', '볼', '수', '있', '기뻐']	0
['요즘', '사람', '만나']	5
['출산', '여자', '몸', '상하', '것', '같']	4
['이번', '했', '실망', '이', '우리', '연구', '주제', '채택', '않']	5
['건강', '믿', '것', '돼', '혈압', '이', '낙담']	5
['내', '동기', '학점', '받', '교수', '친해서', '부럽', '질투', '나']	4
['친구', '연애', '해서', '그런가', '외로워']	1
['진로', '대해', '고민', '많', '진로', '결정']	0
['돈', '짊어지', '가', '것', '아니', '돈', '모아서', '하나']	3
['남편', '나', '만성', '질환', '지속', '인', '치료', '필요', '상황', '이', '경제', '여유', '다행', '이']	0
['건강', '검진', '했', '고혈압', '진단', '나왔']	3
['퇴근', '늦', '힘들']	3
['여자', '친구', '보', '싶', '안달', '나', '죽']	2
['마음', '술', '마실', '사람', '없', '혼자', '술집', '왔', '외롭', '술', '맛', '없']	1
['친구', '필기', '노트', '빌렸', '잃어버렸']	3
['나', '공부', '시작', '않', '걸까', '공부', '아무것', '모르']	1
['대학', '가', '것', '이외', '생각', '본', '적', '없', '앞', '해야', '할지', '모르']	5
['외롭']	4
['내', '싫', '하', '사람', '있', '나', '보', '반가워', '해서', '어이없']	2
['명절', '자식', '와서', '성가', '셔']	2
['계속', '아빠', '트러블', '생겨']	4
['내', '거리', '여자', '친구', '사귀', '고백', '내', '말', '해서', '부끄러웠']	1
['주변', '사람', '나', '거짓말', '하', '것', '같', '회의감', '들']	3
['내', '심근', '경색', '증', '번', '죽', '고비', '넘겼', '뒤', '죽음', '두려워']	5
['이번', '글렀', '난', '실패', '것', '같']	5
['사', '십', '대', '중반', '넘어서', '있', '내', '건강', '염려']	3
['엄마', '친구', '지내', '물', '보', '눈물', '나왔']	5
['취업', '된', '상태', '이', '십', '대', '보낼까', '봐', '걱정']	3
['나이', '들', '가족', '최고', '라는', '생각', '들']	0
['출근', '지하철', '문', '닫히', '전', '탄', '사람', '내', '신발', '밟', '놓', '사과', '해']	2
['딸아이', '남자', '친구', '집', '온대', '기대']	0
['이번', '아내', '유산']	5
['나', '헤어졌', '여자', '친구', '바람', '피웠']	4
['단계', '건강', '식품', '판매', '친구', '일', '권유', '당황']	1
['나', '말', '섞', '친구', '말', '걸어왔', '뭔가']	2
['해도', '하', '주어진', '업무', '할', '수', '있', '양', '아니']	1
['요즘', '남편', '부딪혀서']	5
['나', '살아온', '것', '같']	0
['이번', '하', '마을', '노인', '잔치', '후원', '없', '봐', '불안']	3
['아픈데', '있', '외롭', '서러워']	4
['엄마', '심부름', '집', '보', '물건', '빼먹']	3
['아기', '태어난', '걸', '축하', '주', '분', '감사', '인사', '드리', '싶']	0
['결혼', '수', '있', '모르']	5
['기다리', '명절', '연휴', '내일', '라니', '신', '나']	0
['퇴직금', '받', '남', '인생', '실감', '나']	5
['친구', '중', '예쁜', '친구', '있', '주변', '친구', '전화', '번호', '나', '물어봐서', '기분', '나빠']	4
['아버지', '술', '취하', '때리', '봐', '두려워']	3
['천식', '달', '살', '뉴스', '보', '천식', '치료제', '개발', '기뻐']	0
['남편', '변했']	1
['상사', '이야기', '있', '배', '소리', '나', '당황']	1
['의사', '내게', '술', '망가진', '간', '회복', '힘들', '거', '라는', '말', '하', '좌절']	2
['얼마', '전', '시험', '아깝', '개', '틀린', '줄', '알', '알', '보', '맞췄']	0
['자식', '집', '주소', '알려', '달', '끝', '알려', '주', '않', '배신감', '화', '나']	4
['남편', '벌이', '않', '나', '남', '돈', '버', '남편', '만나', '여생', '피', '싶']	4
['요즘', '시간', '생길', '때', '은퇴', '후', '삶', '대하', '고민', '시간', '늘', '있']	2
['나이', '드', '사람', '이상']	3
['친구', '만나', '미안', '사과', '싶']	1
['선생', '공부', '하', '친구', '챙겨', '주', '나', '챙겨', '주', '않']	4
['진료', '받', '왔', '진상', '환자', '때문', '우', '간호사', '보', '있', '우리', '손녀', '생각나', '해']	5
['시간', '가', '사람', '오', '않', '거', '야']	3
['나', '학교', '급식', '먹', '친구', '없']	1
['회사', '억', '한', '일', '있']	4
['딸', '기업', '취업', '오', '백만', '원', '필요', '하', '사기', '아닐까', '걱정', '되']	3
['자식', '손주', '내', '병문안', '마음', '졸여서', '기다리', '않']	0
['승진', '수', '있', '마지막', '기회', '인데', '떨어질까', '봐', '안달', '나']	2
['며칠', '전', '믿', '친구', '백만', '원', '빌려줄', '수', '있', '하']	5
['딸', '내', '아프', '걸', '알', '오', '않', '이럴', '수', '있']	4
['이번', '맡', '프로젝트', '결과', '좋', '않', '스트레스', '야']	3
['아들', '챙겨', '주', '게', '고마워서', '총각', '재산', '맡겼', '내', '재산', '가지', '잠적', '버렸']	2
['사용', '한', '연차', '있', '사용', '시간', '없', '피곤', '짜증', '나']	2
['암', '판정', '받', '나', '아내', '이혼', '서류', '내밀']	4
['나', '같', '나이', '녀석', '친구', '사귀', '난', '사교', '없', '그런지', '친구', '없', '힘드']	4
['결혼', '준비', '성가셔', '준비', '게', '많']	2
['간암', '간', '이식', '받', '했', '병원', '실수', '내', '순서', '밀려서', '마음', '급해']	2
['내', '좋', '하', '일', '해야', '할지', '부모', '원', '일', '해야', '할지', '알', '수', '없', '혼란']	1
['내', '뭘', '했', '사람', '시비', '야']	0
['뒷머리', '하', '아프']	5
['아들', '공부', '하', '게임', '하', '반', '성적', '꼴', '등', '해서', '화', '나']	2
['나이', '먹', '아기', '없', '보', '생각', '드', '것', '같']	3
['나', '자신', '부끄럽']	1
['아침', '회사', '출근', '것', '괴로워']	5
['나', '다음', '주', '결혼']	0
['오랜만', '군대', '동기', '만나', '소주', '한잔']	0
['노후', '준비', '일', '성가신', '게', '아니']	2
['열', '나', '코로나', '걸린', '줄', '알', '걱정', '검사', '결과', '음성', '나왔', '편안']	0
['회사', '약속', '날짜', '급여', '지급', '않', '있', '짜증', '나']	2
['내', '준', '것', '내', '앞', '버릴', '수', '있', '내', '여자', '친구', '이기', '이']	2
['아들', '가족', '주말', '병문', '올', '거', '라고', '자랑', '오', '되', '당황']	1
['우리', '사업', '어려워', '졌', '이제', '친했', '업체', '나', '거들떠', '봐', '그럴', '수', '있']	1
['기분', '좋']	0
['난', '어릴', '때', '형제', '없', '친구', '동생', '이야기', '하', '것', '보', '외로움', '느껴']	4
['회사', '발표', '나', '보', '것', '부끄러워서', '말', '나왔']	1
['모르', '사람', '만나', '게', '두려워']	3
['나', '공기업', '다녀서', '정년', '보장']	0
['내', '나이', '마흔', '인데', '우리', '집', '월세', '라서']	4
['앓아눕', '전', '아내', '원했', '식당', '가', '했', '말', '떠올라', '당황']	1
['건강', '좋', '지', '생각', '들']	1
['나', '이번', '면접', '떨려서', '말', '하', '못했']	1
['사장', '명절', '보너스', '선물', '세트', '지급', '화', '나']	2
['부모', '이혼', '나', '마음']	5
['지난주', '여자', '친구', '생겼', '결혼', '하']	3
['친구', '새로운', '운동', '배워', '보', '나', '내키', '않']	2
['좋', '나', '찍힌', '것', '같']	3
['아내', '음주운전', '사고', '죽', '하', '화', '참', '수', '없']	2
['집', '들어가', '말', '붙여', '주', '사람', '없', '우울']	5
['나', '라고', '생각', '동기', '부장', '칭찬', '받']	1
['아무것', '이뤄', '놓', '것', '없', '인생', '헛산', '거', '같']	3
['요즘', '밤', '되', '죽', '싶']	1
['나', '내', '삶', '불안', '내', '어디', '향해', '가', '모르']	3
['얼마', '뒤', '결혼', '하', '되', '무언가', '불안']	3
['이직', '회사', '좋', '회사', '가', '길', '기대']	0
['친구', '대화', '때', '친구', '났', '나', '살', '수', '없', '건지', '힘들']	1
['우리', '오빠', '나', '심부름', '시켜', '짜증', '나']	2
['결혼', '때', '되', '속상해']	5
['요즘', '재정', '상황', '내', '마음', '먹', '대로', '좋', '지', '않', '실망']	5
['옆집', '아줌마', '이번', '다쳐서', '손실', '보험', '탔', '기뻐하', '나', '그럴', '일', '없', '다행', '이']	0
['사람', '만났', '부끄러웠']	1
['내', '친구', '중', '약속', '시각', '늦', '친구', '있', '오늘', '말', '늦', '거', '있']	2
['친구', '싸웠', '눈물', '나']	5
['직장', '동료', '나', '일', '떠넘긴', '채', '휴가', '가', '속상해', '나', '희생', '것', '같', '스트레스', '받']	4
['아들놈', '연애', '상담', '해', '줬', '내심', '기분', '좋']	0
['부모', '약속', '어기', '실망']	5
['노후', '준비', '걱정', '이']	3
['취업', '돼서', '뭔가', '문제', '인지', '열등감', '생기']	1
['교수', '회사', '면접', '보', '당혹']	1
['친구', '모임', '오랫동안', '갔', '애', '나', '소외', '기분', '들']	4
['갑작스럽', '큰', '돈', '나갈', '일', '생겨서', '큰일', '이', '일', '해결', '이번', '달', '생활비']	4
['해도', '되', '않', '걸', '보', '나', '머리', '나쁜가', '봐']	1
['나', '공부', '했', '성적', '나와서', '슬퍼']	5
['내', '애인', '남자', '인', '것', '알', '부모', '울', '반대', '하', '괴롭', '힘들']	4
['친구', '없', '것', '같', '외로워']	5
['젊은이', '나', '나이', '많', '하찮', '여기', '것', '같', '슬퍼']	5
['내', '전', '남자', '친구', '결혼', '청첩장', '보내왔']	2
['친구', '이번', '피아노', '실기', '시험', '에이', '맞', '나', '했']	4
['우리', '남편', '시어머니', '미워', '남편', '해고', '어머니', '그것', '모르', '돈타령']	4
['큰아이', '전공', '공부', '재미', '느낀다고', '해', '하', '좋']	3
['의사', '이상', '치료', '소용', '없', '암울']	4
['남자', '친구', '여자', '생겨서', '헤어지', '됐', '어디', '말', '수', '없']	1
['결혼', '늦', '하', '보', '아이', '교육', '나이', '들', '하', '되']	4
['점심', '시간', '몰려가', '직원', '사이', '혼자', '밥', '먹', '속상하', '당황']	1
['나', '동료', '있', '뭔가', '우울']	5
['아픈', '곳', '없', '건강', '나이', '많', '등산', '동호회', '가입', '거절', '슬퍼']	5
['육', '십', '인데', '노후', '준비', '돼', '있', '않', '걱정', '이']	5
['내', '병', '가지', '있', '그동안', '크', '문제', '살아왔', '최근', '검진', '결과', '의하', '지', '있']	3
['은퇴', '했', '경제', '생활', '유지', '있', '다행', '이']	0
['나', '챙겨', '주', '간호사', '보여서', '물', '보', '그만뒀']	5
['친구', '자취방', '이상', '냄새', '난', '대서', '화', '났']	2
['나', '신', '나', '뛸', '듯이', '기뻐']	0
['피로감', '있', '간암', '일', '줄', '이', '병원', '죽', '수', '있', '데', '참혹', '화', '나', '나', '일']	2
['나', '틱', '장애', '앓', '사람', '만나']	3
['똑같', '일상', '똑같', '일', '반복', '보', '미칠', '것', '같']	5
['남편', '금전', '문제', '때문', '나', '사', '게', '힘들']	4
['죽음', '대한', '생각', '구역', '이']	2
['자식', '결혼', '한다는', '데', '우울']	5
['진로', '대해', '걱정']	3
['나', '두', '출장', '갔', '이럴', '수', '있', '속상해']	4
['남편', '젊', '여자', '바람', '났', '배신', '기분', '이']	2
['언니', '내', '고민', '들', '줘서', '좋']	0
['이번', '점수', '좋', '못했', '공부', '성적', '오르', '돼', '있', '불안', '않']	0
['불안', '생각', '나']	3
['같', '맞벌이', '하', '아내', '나', '집안일', '육아', '원해']	4
['처음', '일', '신입', '사원', '심하', '야단친', '것', '같', '후회']	5
['혼자', '임용', '시험', '준비', '하', '외로워']	1
['친구', '나', '다르', '행복', '결혼', '생활', '하', '있', '것', '같', '부럽', '눈물', '나']	5
